"customer","promoType","promoDescription","startDate","endDate","vlMarketingNum","marketingNum","status","forecast","actual"
"Sears Holdings","COOP","Retail Ad 9D","6/31/2014","8/20/2015","R163COOP636","62PP36","archived","890","488"
"NEXCOM","BER","9D @ $68","8/14/2010","9/12/2011","R164COOP184","305PP595","archived","882","1679"
"HSN Direct International","BER","Description","7/3/2011","8/6/2012","R166BER985","601BER416","accepted","786","1798"
"Synnex Canada","BER","Description","6/20/2014","8/15/2015","R166COOP185","503COOP185","running","863","1172"
"Best Buy","COOP","Description","8/10/2012","9/10/2013","R167BER490","607PP673","POP","730","1870"
"QVC","BER","9D @ $68","12/25/2012","11/17/2013","R168COOP68","404BER534","accepted","725","1261"
"AAFES","COOP","Retail","5/16/2013","7/13/2014","R168COOP873","825COOP513","accepted","202","271"
"Best Buy","COOP","9D @ $68","1/31/2016","5/20/2017","R168PP63","548PP874","accepted","271","423"
"HSN Direct International","PP","9D @ $68","9/9/2016","9/9/2017","R169BER104","808PP945","accepted","414","1164"
"HSN Direct International","PP","Retail Ad 9D","7/6/2014","8/8/2015","R169PP127","308PP251","accepted","218","1498"
"Sears Holdings/Kmart","COOP","Retail Ad 9D","10/1/2010","10/5/2011","R169PP170","524COOP593","running","794","195"
"Bluestem Brands","PP","Retail Ad 9D","10/2/2011","10/6/2012","R16PP351","468BER805","approved","741","1285"
"PriceSmart","BER","Description","2/1/2010","6/5/2011","R16PP486","686COOP179","POP","542","445"
"QVC","BER","9D @ $68","2/21/2013","6/15/2014","R170COOP145","513COOP958","running","930","1074"
"HSN Direct International","BER","Description","6/28/2014","8/19/2015","R170COOP589","86PP621","approved","896","1696"
"Sears Holdings/Kmart","PP","Retail Ad","4/9/2015","7/9/2016","R170PP149","509BER301","accepted","590","1485"
"Bluestem Brands","BER","Retail","3/18/2012","6/14/2013","R170PP762","543BER418","POP","815","1987"
"Bluestem Brands","BER","Description","7/27/2011","8/18/2012","R170PP860","803COOP565","running","522","813"
"Sears Holdings/Kmart","BER","9D @ $68","1/7/2013","5/8/2014","R171BER460","375BER44","POP","953","467"
"AAFES","PP","Retail","11/9/2013","10/9/2014","R171BER559","563PP103","approved","649","1168"
"Best Buy","PP","Retail Ad 9D","5/10/2015","7/10/2016","R172BER385","71BER871","accepted","792","299"
"Best Buy.com","PP","Description","5/29/2014","7/19/2015","R172PP416","803BER727","approved","530","1145"
"Bluestem Brands","PP","Retail","1/30/2013","5/20/2014","R174BER419","331COOP514","accepted","489","607"
"Best Buy.com","COOP","9D @ $68","9/8/2010","9/9/2011","R174BER460","481COOP788","POP","249","146"
"Kohls","COOP","Description","11/14/2010","10/12/2011","R176PP795","714COOP643","accepted","959","488"
"Best Buy","COOP","9D @ $68","6/31/2013","8/20/2014","R176PP965","590BER285","POP","419","1551"
"Sears Holdings/Kmart","PP","Retail Ad","5/10/2014","7/10/2015","R177COOP240","159PP889","approved","308","920"
"NEXCOM","PP","Retail","2/31/2012","6/20/2013","R177COOP945","703PP216","approved","223","297"
"Synnex Canada","BER","Description","10/19/2016","10/14/2017","R17COOP923","625BER373","accepted","325","1878"
"Kohls","BER","Description","5/11/2013","7/10/2014","R180BER391","836PP616","approved","327","198"
"Kohls","BER","Retail","1/26/2012","5/18/2013","R180BER395","736BER739","accepted","202","1107"
"Walmart.com","COOP","Description","6/27/2011","8/18/2012","R180COOP589","792COOP962","running","557","1578"
"Best Buy.com","COOP","Description","4/7/2014","7/8/2015","R180COOP919","15PP146","accepted","318","634"
"NEXCOM","BER","9D @ $68","12/23/2016","11/16/2017","R181COOP476","112COOP34","accepted","416","1758"
"Best Buy","BER","Retail Ad","5/9/2014","7/9/2015","R182COOP672","166COOP240","approved","608","1452"
"Amazon","PP","9D @ $68","10/3/2012","10/6/2013","R183PP935","813BER40","archived","218","1170"
"QVC","PP","Retail","6/2/2015","8/6/2016","R184BER884","569COOP148","POP","779","497"
"Sears Holdings/Kmart","BER","Retail Ad 9D","1/28/2016","5/19/2017","R184PP438","18PP115","running","554","1827"
"Target.com","BER","Retail","11/28/2016","10/19/2017","R185PP298","284PP141","running","532","1489"
"HSN Direct International","BER","Retail Ad","4/1/2015","7/5/2016","R185PP396","834PP461","POP","212","193"
"Best Buy","COOP","Description","12/28/2012","11/19/2013","R186COOP373","313BER641","POP","734","421"
"Sears Holdings/Kmart","BER","9D @ $68","4/22/2011","7/16/2012","R187COOP94","689COOP875","approved","446","1980"
"Kohls","PP","Retail","11/22/2015","10/16/2016","R188BER258","394BER583","approved","376","263"
"Walmart.com","PP","Description","12/30/2016","11/20/2017","R188COOP467","512COOP125","running","489","557"
"NEXCOM","COOP","9D @ $68","7/11/2014","8/10/2015","R18COOP608","812BER836","approved","472","1843"
"Kohls","BER","Description","11/7/2011","10/8/2012","R192COOP186","61PP453","running","451","1946"
"Tiger Direct","COOP","Retail Ad","11/2/2015","10/6/2016","R194COOP668","536BER303","accepted","701","615"
"Amazon","COOP","Retail Ad","3/31/2013","6/20/2014","R196BER768","327PP104","approved","972","786"
"Sears Holdings/Kmart","BER","Description","7/2/2015","8/6/2016","R196COOP657","382PP758","approved","739","1656"
"Amazon Canada","PP","Retail Ad","2/20/2012","6/15/2013","R196PP643","87BER452","accepted","434","549"
"QVC","BER","9D @ $68","5/19/2012","7/14/2013","R198COOP23","620PP245","archived","494","1542"
"Kohls","PP","Description","5/29/2016","7/19/2017","R199BER400","982COOP728","accepted","297","928"
"Frys Electronics","COOP","Retail Ad 9D","9/5/2016","9/7/2017","R199COOP110","737PP338","archived","278","717"
"Best Buy.com","COOP","9D @ $68","4/16/2010","7/13/2011","R19BER29","328PP987","approved","760","430"
"Best Buy.com","COOP","Retail Ad 9D","4/6/2016","7/8/2017","R1PP399","613COOP212","accepted","909","784"
"Tiger Direct","BER","9D @ $68","6/5/2013","8/7/2014","R200BER238","669PP424","accepted","712","1731"
"PriceSmart","BER","Description","4/31/2011","7/20/2012","R200BER241","426COOP994","approved","990","1800"
"AAFES","BER","Retail","5/25/2012","7/17/2013","R200COOP465","74BER651","approved","446","1192"
"Amazon","BER","Retail Ad 9D","8/4/2012","9/7/2013","R201BER9","613COOP453","accepted","930","413"
"Amazon","COOP","Description","1/2/2013","5/6/2014","R201PP78","194COOP522","POP","911","636"
"Tiger Direct","COOP","9D @ $68","8/18/2016","9/14/2017","R203COOP553","187BER661","POP","818","1092"
"Sears Holdings/Kmart","PP","Retail Ad","10/1/2012","10/5/2013","R206BER840","790COOP674","accepted","284","1261"
"Walmart.com","BER","Retail Ad 9D","4/26/2015","7/18/2016","R206BER941","508COOP275","approved","379","192"
"AAFES","COOP","Retail","5/18/2013","7/14/2014","R206COOP77","929BER970","archived","860","508"
"Best Buy","COOP","Retail Ad 9D","7/25/2015","8/17/2016","R206PP180","551BER373","approved","260","1816"
"Synnex Canada","PP","Description","7/31/2011","8/20/2012","R207PP54","173BER756","POP","874","1670"
"QVC","PP","9D @ $68","9/25/2016","9/17/2017","R208COOP231","680BER0","approved","309","106"
"Tiger Direct","BER","9D @ $68","9/18/2013","9/14/2014","R209BER328","250COOP346","POP","591","1432"
"Best Buy.com","BER","Description","1/30/2010","5/20/2011","R209BER662","239COOP467","approved","428","1497"
"Sears Holdings","PP","9D @ $68","6/19/2016","8/14/2017","R209BER853","133COOP909","approved","445","1514"
"QVC","COOP","Retail Ad 9D","10/27/2014","10/18/2015","R20BER152","706PP261","approved","998","989"
"BJs Wholesale Club","COOP","Retail Ad","10/17/2013","10/13/2014","R20BER399","143COOP856","accepted","934","1614"
"Synnex Canada","BER","Retail Ad 9D","5/1/2015","7/5/2016","R20COOP400","880PP255","approved","212","1783"
"Amazon","BER","Description","10/21/2016","10/15/2017","R20COOP468","820PP688","approved","682","301"
"NEXCOM","BER","9D @ $68","1/4/2012","5/7/2013","R20PP80","525BER30","approved","581","568"
"Synnex Canada","PP","Retail","6/25/2013","8/17/2014","R210BER386","268BER444","POP","335","125"
"HSN Direct International","BER","9D @ $68","9/10/2013","9/10/2014","R210BER745","205COOP844","accepted","441","1937"
"Frys Electronics","PP","Retail Ad","6/1/2012","8/5/2013","R210COOP537","265BER88","archived","933","1624"
"Amazon","BER","Retail Ad","6/15/2011","8/12/2012","R211PP700","153PP742","running","655","204"
"NEXCOM","PP","Retail","5/26/2010","7/18/2011","R212BER868","37PP444","POP","535","877"
"HSN Direct International","BER","Retail Ad","7/30/2015","8/20/2016","R212COOP602","193COOP769","accepted","410","1126"
"HSN Direct International","COOP","Description","7/30/2011","8/20/2012","R212PP509","116COOP906","accepted","664","537"
"Kohls","PP","Retail Ad","11/30/2015","10/20/2016","R212PP576","745BER145","accepted","575","1134"
"Amazon Canada","COOP","9D @ $68","9/20/2013","9/15/2014","R213PP544","140BER213","approved","825","1023"
"Target.com","PP","9D @ $68","12/22/2010","11/16/2011","R214PP416","221BER812","POP","404","1891"
"NEXCOM","COOP","9D @ $68","11/11/2013","10/10/2014","R216PP666","171PP299","archived","862","433"
"Bluestem Brands","PP","Retail","1/20/2010","5/15/2011","R219BER623","703BER406","running","692","1364"
"Target.com","PP","Retail Ad","4/27/2014","7/18/2015","R21BER139","462COOP305","approved","756","795"
"Best Buy.com","BER","Retail Ad 9D","8/11/2013","9/10/2014","R220COOP473","339PP383","accepted","235","176"
"AAFES","COOP","Retail Ad","9/31/2011","9/20/2012","R220COOP723","461PP513","archived","458","261"
"Bluestem Brands","BER","Retail Ad","4/5/2014","7/7/2015","R221COOP686","316COOP146","accepted","524","1076"
"HSN Direct International","BER","Retail","7/3/2010","8/6/2011","R223COOP861","250PP133","approved","478","153"
"Bluestem Brands","BER","Retail Ad","4/8/2010","7/9/2011","R223PP31","814BER780","POP","691","1211"
"Sears Holdings/Kmart","COOP","Description","1/2/2015","5/6/2016","R224PP251","920BER613","archived","200","1110"
"BJs Wholesale Club","COOP","Retail Ad","4/28/2016","7/19/2017","R225BER404","167BER693","archived","704","454"
"HSN Direct International","COOP","Retail Ad","9/24/2014","9/17/2015","R225BER492","727COOP28","approved","700","1145"
"HSN Direct International","PP","Retail","2/20/2015","6/15/2016","R226PP41","756BER662","accepted","888","712"
"Walmart.com","BER","Retail Ad 9D","6/1/2012","8/5/2013","R228BER162","258BER14","accepted","954","1382"
"Frys Electronics","COOP","Retail Ad","2/13/2014","6/11/2015","R228PP138","943PP252","archived","838","1432"
"HSN Direct International","BER","Description","11/23/2015","10/16/2016","R228PP367","750PP382","approved","330","719"
"NEXCOM","COOP","Description","11/12/2016","10/11/2017","R228PP477","189COOP681","accepted","532","1960"
"Synnex Canada","PP","Retail Ad 9D","11/7/2012","10/8/2013","R229PP104","968COOP702","archived","579","379"
"Ingram Micro","COOP","Retail","4/14/2012","7/12/2013","R22BER744","276COOP151","archived","893","221"
"NEXCOM","COOP","Description","11/16/2013","10/13/2014","R230PP697","284BER307","approved","508","933"
"Sears Holdings/Kmart","PP","Retail Ad 9D","3/18/2014","6/14/2015","R235BER495","293COOP257","running","763","1897"
"Kohls","COOP","Retail Ad 9D","8/27/2016","9/18/2017","R236COOP917","304BER274","accepted","867","1539"
"QVC","BER","Retail Ad","9/25/2011","9/17/2012","R237COOP508","606COOP631","POP","859","236"
"BJs Wholesale Club","COOP","Retail Ad","2/5/2011","6/7/2012","R237PP824","327BER704","POP","294","1907"
"PriceSmart","PP","Retail","1/31/2013","5/20/2014","R238BER71","814COOP530","approved","893","1749"
"Ingram Micro","BER","Retail Ad","10/21/2012","10/15/2013","R238COOP529","221PP992","archived","538","1515"
"QVC","COOP","Retail Ad 9D","4/24/2014","7/17/2015","R239COOP726","93PP30","approved","581","643"
"PriceSmart","COOP","Description","2/24/2013","6/17/2014","R23BER292","198BER39","running","701","1298"
"Best Buy.com","PP","9D @ $68","3/28/2012","6/19/2013","R23BER396","777BER858","accepted","658","719"
"Tiger Direct","PP","Description","6/19/2011","8/14/2012","R23COOP141","654COOP521","running","663","459"
"Bluestem Brands","COOP","Retail","6/9/2015","8/9/2016","R241BER549","1000PP852","approved","767","1264"
"Amazon","BER","Description","9/12/2016","9/11/2017","R241COOP610","154PP33","running","815","1215"
"Ingram Micro","BER","Retail","4/6/2010","7/8/2011","R241PP210","646COOP743","accepted","999","657"
"Bluestem Brands","COOP","Retail","3/27/2016","6/18/2017","R242COOP465","775COOP583","approved","423","1929"
"Sears Holdings","COOP","Description","10/4/2010","10/7/2011","R242PP527","394COOP947","approved","922","1786"
"Best Buy","COOP","Retail Ad","11/24/2016","10/17/2017","R243COOP843","143COOP326","POP","665","705"
"Sears Holdings/Kmart","COOP","Description","5/3/2013","7/6/2014","R243PP191","52PP176","running","483","198"
"Amazon Canada","PP","Retail Ad","12/11/2010","11/10/2011","R243PP425","110PP108","accepted","751","1332"
"Kohls","COOP","9D @ $68","12/3/2016","11/6/2017","R244BER767","781COOP397","POP","607","590"
"Target.com","COOP","Retail","5/23/2013","7/16/2014","R246BER746","727COOP505","POP","414","1115"
"Bluestem Brands","PP","Description","3/18/2014","6/14/2015","R246COOP545","228COOP352","approved","652","1739"
"HSN Direct International","PP","9D @ $68","6/18/2010","8/14/2011","R247COOP676","555COOP577","approved","518","1410"
"AAFES","COOP","Retail Ad","7/4/2016","8/7/2017","R247COOP791","829BER943","approved","830","1921"
"Tiger Direct","PP","Retail Ad","3/4/2016","6/7/2017","R248BER341","108PP707","accepted","331","1286"
"Ingram Micro","COOP","Retail Ad","4/30/2013","7/20/2014","R248PP761","104COOP86","archived","959","558"
"Amazon Canada","COOP","Retail","12/22/2012","11/16/2013","R249COOP710","143BER169","running","790","277"
"Walmart.com","PP","9D @ $68","9/24/2016","9/17/2017","R249COOP800","702COOP485","POP","326","1533"
"Sears Holdings","PP","Retail Ad 9D","6/13/2010","8/11/2011","R249PP167","174COOP372","archived","537","116"
"Bluestem Brands","BER","Retail Ad 9D","2/4/2010","6/7/2011","R250PP761","36COOP964","POP","918","401"
"Amazon","PP","Retail Ad","2/14/2014","6/12/2015","R251COOP3","176PP630","approved","706","444"
"Amazon","COOP","Retail","1/6/2016","5/8/2017","R252PP48","682BER341","archived","808","1983"
"AAFES","COOP","Retail Ad 9D","4/8/2011","7/9/2012","R254BER228","194COOP829","accepted","341","1278"
"Best Buy.com","PP","9D @ $68","4/9/2014","7/9/2015","R255COOP785","644BER996","running","482","410"
"Amazon Canada","BER","Retail Ad 9D","4/4/2016","7/7/2017","R255PP684","7BER898","approved","458","1891"
"Kohls","PP","9D @ $68","7/12/2013","8/11/2014","R256BER241","237PP264","POP","515","144"
"HSN Direct International","BER","Retail Ad","1/16/2014","5/13/2015","R256COOP465","48COOP63","POP","733","436"
"Bluestem Brands","BER","Retail Ad","4/13/2012","7/11/2013","R257BER959","992BER818","running","948","168"
"Sears Holdings","COOP","Description","3/8/2016","6/9/2017","R257PP692","751BER522","archived","1000","441"
"Bluestem Brands","BER","Description","12/19/2016","11/14/2017","R259BER371","286PP823","running","266","1293"
"Ingram Micro","BER","Retail Ad","9/5/2014","9/7/2015","R259COOP994","403BER57","approved","501","1838"
"Synnex Canada","COOP","Description","4/23/2015","7/16/2016","R25BER752","188COOP390","accepted","542","242"
"AAFES","COOP","Retail","4/13/2015","7/11/2016","R25COOP962","406COOP177","approved","571","787"
"HSN Direct International","PP","9D @ $68","4/29/2016","7/19/2017","R260BER492","782PP420","approved","422","731"
"Amazon Canada","PP","9D @ $68","2/4/2013","6/7/2014","R262COOP651","532COOP55","running","868","1683"
"Amazon","PP","Retail Ad 9D","9/1/2013","9/5/2014","R262COOP87","274BER777","running","341","1208"
"Ingram Micro","COOP","9D @ $68","1/20/2015","5/15/2016","R262PP852","252PP314","accepted","748","195"
"NEXCOM","PP","Retail Ad 9D","1/24/2013","5/17/2014","R263BER25","133PP163","archived","352","739"
"Best Buy","COOP","9D @ $68","10/22/2014","10/16/2015","R265COOP49","111BER743","accepted","656","819"
"HSN Direct International","BER","Retail","3/7/2013","6/8/2014","R265PP611","168BER296","POP","906","1322"
"Frys Electronics","PP","9D @ $68","6/29/2013","8/19/2014","R265PP782","36COOP148","approved","222","1828"
"Target.com","COOP","test","1/6/2016","5/8/2017","R266BER655","","approved","0","0"
"Sears Holdings/Kmart","BER","Retail","5/26/2012","7/18/2013","R266COOP827","181BER719","approved","590","1825"
"Best Buy.com","PP","Description","5/12/2014","7/11/2015","R267BER38","582COOP522","approved","540","813"
"QVC","COOP","Retail","10/30/2011","10/20/2012","R267PP121","371COOP966","accepted","342","1975"
"Ingram Micro","BER","Description","5/24/2012","7/17/2013","R270COOP640","287BER457","accepted","990","960"
"NEXCOM","COOP","Retail Ad 9D","5/17/2013","7/13/2014","R271COOP964","440COOP37","approved","506","545"
"NEXCOM","BER","Description","7/19/2012","8/14/2013","R271PP535","493BER793","accepted","588","899"
"Amazon Canada","PP","9D @ $68","2/15/2013","6/12/2014","R272PP605","885PP240","accepted","592","837"
"HSN Direct International","COOP","Retail Ad","5/25/2010","7/17/2011","R273COOP480","660COOP836","running","456","490"
"HSN Direct International","PP","Retail Ad","10/20/2016","10/15/2017","R276PP424","695PP916","running","252","466"
"Amazon","COOP","Retail Ad 9D","7/30/2011","8/20/2012","R276PP444","360BER459","approved","998","1335"
"Synnex Canada","COOP","Description","11/25/2016","10/17/2017","R278COOP168","724COOP812","archived","518","1355"
"Sears Holdings/Kmart","COOP","Retail","6/13/2012","8/11/2013","R278COOP334","470PP943","approved","767","1017"
"Bluestem Brands","PP","Description","6/6/2016","8/8/2017","R278COOP43","123PP610","accepted","434","1156"
"AAFES","BER","t","10/1/2015","10/21/2015","R27915","","approved","0","0"
"Best Buy.com","PP","Retail Ad","12/31/2015","11/20/2016","R27BER803","764BER112","archived","725","1873"
"Tiger Direct","COOP","Retail Ad 9D","10/8/2015","10/9/2016","R280BER81","464COOP591","approved","667","1565"
"QVC","BER","Description","9/21/2014","9/15/2015","R280COOP882","695BER771","approved","777","581"
"Frys Electronics","COOP","Retail Ad","9/5/2015","9/7/2016","R281PP908","373PP231","POP","681","624"
"Bluestem Brands","BER","Description","2/14/2014","6/12/2015","R282COOP9","641PP498","archived","959","100"
"Amazon","COOP","9D @ $68","10/7/2014","10/8/2015","R283BER559","341COOP571","accepted","576","839"
"QVC","COOP","Retail","1/16/2014","5/13/2015","R284PP615","485BER294","approved","671","1089"
"Synnex Canada","PP","Retail","4/7/2016","7/8/2017","R286PP474","430COOP123","approved","286","642"
"Sears Holdings","COOP","Retail Ad 9D","4/29/2016","7/19/2017","R287BER256","773PP24","running","602","1911"
"Best Buy","PP","Description","11/25/2014","10/17/2015","R287BER973","759BER627","approved","283","811"
"Walmart.com","COOP","Retail Ad","7/1/2012","8/5/2013","R288BER785","859PP120","running","257","393"
"AAFES","COOP","Retail","5/31/2013","7/20/2014","R288COOP352","504PP837","running","415","249"
"NEXCOM","BER","9D @ $68","6/10/2015","8/10/2016","R289COOP85","781PP746","accepted","320","605"
"HSN Direct International","BER","Retail Ad 9D","6/2/2015","8/6/2016","R289PP422","466COOP182","archived","959","1285"
"NEXCOM","COOP","9D @ $68","8/18/2016","9/14/2017","R289PP560","877COOP327","accepted","980","771"
"Synnex Canada","COOP","Retail Ad","5/23/2013","7/16/2014","R290BER379","141PP397","accepted","237","1033"
"Amazon Canada","COOP","Retail Ad","12/17/2011","11/13/2012","R290BER618","927COOP906","accepted","508","1656"
"Best Buy","BER","9D @ $68","6/14/2013","8/12/2014","R290COOP248","880PP918","approved","775","1199"
"Sears Holdings/Kmart","PP","9D @ $68","2/4/2014","6/7/2015","R291BER390","227COOP364","approved","394","457"
"Bluestem Brands","BER","9D @ $68","1/5/2011","5/7/2012","R291BER939","192PP944","accepted","476","1346"
"HSN Direct International","BER","9D @ $68","9/4/2011","9/7/2012","R291COOP125","627BER702","accepted","894","829"
"Sears Holdings","COOP","Retail Ad","6/18/2010","8/14/2011","R291PP196","86PP207","accepted","950","1867"
"BJs Wholesale Club","COOP","9D @ $68","4/9/2012","7/9/2013","R291PP708","521BER112","accepted","270","465"
"HSN Direct International","PP","Retail Ad 9D","3/24/2010","6/17/2011","R292COOP798","883BER881","running","277","1019"
"Bluestem Brands","COOP","Retail","10/17/2015","10/13/2016","R293BER213","581COOP922","approved","577","646"
"Ingram Micro","PP","Retail Ad","9/18/2016","9/14/2017","R293BER564","356PP61","approved","836","1287"
"PriceSmart","PP","Retail","9/5/2011","9/7/2012","R293BER64","98BER686","POP","941","1270"
